α (°), E174 / T1-Re0.050-N5.0, α (°), E174 / T1-Re0.100-N5.0, α (°), E174 / T1-Re0.150-N5.0, α (°), E174 / T1-Re0.200-N5.0, α (°), E174 / T1-Re0.250-N5.0, α (°), E174 / T1-Re0.300-N5.0, α (°), E174 / T1-Re0.350-N5.0, α (°), E174 / T1-Re0.375-N5.0, α (°), E174 / T1-Re0.400-N5.0, 
         -0.4,    0.01920563,            0,    0.01282509,          0.8,    0.01083704,            0,   0.009168229,            0,   0.008336484,          0.2,   0.007815359,         -0.6,   0.008451647,         -0.2,   0.007819308,         -0.4,   0.008015235,
         -0.2,    0.01941953,          0.2,     0.0129527,            1,    0.01093638,          0.2,    0.00924468,          0.2,    0.00839593,          0.4,   0.007859276,         -0.4,   0.008189474,            0,   0.007509281,         -0.2,   0.007744892,
            0,    0.01966104,          0.4,    0.01306901,          1.2,    0.01104132,          0.4,   0.009336004,          0.4,   0.008464858,          0.6,   0.007912197,         -0.2,   0.007906497,          0.2,   0.007215303,            0,   0.007457899,
          0.2,    0.01982753,          0.6,    0.01319601,          1.4,    0.01116076,          0.6,   0.009414532,          0.6,   0.008546724,          0.8,   0.007976099,            0,   0.007577205,          0.4,   0.007186526,          0.2,   0.007161682,
          0.4,    0.02011621,          0.8,    0.01333485,          1.6,    0.01126539,          0.8,     0.0094856,          0.8,    0.00863028,            1,   0.008051093,          0.2,   0.007320296,          0.6,   0.007265567,          0.4,   0.007026814,
          0.6,    0.02031357,            1,    0.01346358,          1.8,    0.01137677,            1,   0.009566531,            1,   0.008687166,          1.2,   0.008140328,          0.4,   0.007375737,          0.8,   0.007314157,          0.6,   0.007076723,
          0.8,    0.02062371,          1.2,    0.01359971,            2,    0.01149007,          1.2,   0.009660156,          1.2,   0.008757384,          1.4,   0.008207318,          0.6,   0.007444066,            1,   0.007361008,          0.8,    0.00711986,
            1,    0.02083463,          1.4,    0.01376624,          2.2,    0.01161631,          1.4,   0.009772536,          1.4,   0.008836959,          1.6,   0.008265678,          0.8,    0.00752693,          1.2,    0.00741659,            1,   0.007171346,
          1.2,    0.02118302,          1.6,    0.01391351,          2.4,    0.01174345,          1.6,    0.00985001,          1.6,   0.008929402,          1.8,   0.008334935,            1,   0.007577986,          1.4,   0.007482912,          1.2,   0.007232798,
          1.4,    0.02136206,          1.8,    0.01404999,          2.6,    0.01186546,          1.8,   0.009934154,          1.8,   0.009034917,            2,   0.008413861,          1.2,    0.00762866,          1.6,    0.00756146,          1.4,   0.007306126,
          1.6,    0.02177501,            2,    0.01421882,          2.8,    0.01198607,            2,    0.01002798,            2,   0.009099141,          2.2,   0.008506051,          1.4,   0.007688747,          1.8,   0.007656998,          1.6,   0.007394047,
