α (°), E174 / T1-Re0.050-N5.0, α (°), E174 / T1-Re0.100-N5.0, α (°), E174 / T1-Re0.150-N5.0, α (°), E174 / T1-Re0.200-N5.0, α (°), E174 / T1-Re0.250-N5.0, α (°), E174 / T1-Re0.300-N5.0, α (°), E174 / T1-Re0.350-N5.0, α (°), E174 / T1-Re0.375-N5.0, α (°), E174 / T1-Re0.400-N5.0, 
          0.4,     0.4323143,          0.8,     0.4846252,          1.6,     0.5721329,          0.8,      0.484265,          0.8,     0.4842452,            1,      0.506916,          0.2,     0.4179487,          0.6,     0.4627059,          0.4,     0.4405643,
          0.6,     0.4546708,            1,     0.5063949,          1.8,      0.594055,            1,     0.5063562,            1,     0.5065854,          1.2,     0.5290234,          0.4,     0.4404756,          0.8,     0.4851682,          0.6,     0.4630002,
          0.8,      0.474792,          1.2,     0.5283092,            2,     0.6159357,          1.2,      0.528377,          1.2,     0.5288332,          1.4,     0.5513356,          0.6,     0.4626844,            1,     0.5076252,          0.8,     0.4854944,
            1,     0.4971401,          1.4,     0.5497416,          2.2,     0.6378316,          1.4,      0.550389,          1.4,     0.5509824,          1.6,     0.5736878,          0.8,      0.484841,          1.2,      0.529986,            1,     0.5078973,
          1.2,     0.5166891,          1.6,     0.5713535,          2.4,     0.6596844,          1.6,     0.5725932,          1.6,     0.5730309,          1.8,     0.5959383,            1,     0.5072852,          1.4,     0.5522468,          1.2,     0.5301986,
          1.4,     0.5394888,          1.8,     0.5931642,          2.6,     0.6814834,          1.8,     0.5947033,          1.8,     0.5950645,            2,     0.6180927,          1.2,     0.5297031,          1.6,     0.5744166,          1.4,     0.5524059,
          1.6,     0.5581492,            2,     0.6147096,          2.8,     0.7032313,            2,     0.6167207,            2,     0.6173694,          2.2,     0.6401244,          1.4,     0.5520239,          1.8,     0.5964952,          1.6,      0.574534,
          1.8,     0.5802748,          2.2,     0.6360699,            3,     0.7249755,          2.2,     0.6386706,          2.2,     0.6395594,          2.4,     0.6620916,          1.6,       0.57425,            2,     0.6189318,          1.8,     0.5969366,
            2,     0.5995736,          2.4,     0.6576568,          3.2,     0.7467822,          2.4,     0.6605931,          2.4,     0.6616194,          2.6,     0.6844183,          1.8,     0.5963783,          2.2,     0.6413003,            2,     0.6193591,
          2.2,     0.6204104,          2.6,     0.6794703,          3.4,     0.7682918,          2.6,     0.6826561,          2.6,     0.6835731,          2.8,     0.7065653,            2,     0.6184194,          2.4,     0.6635305,          2.2,     0.6416672,
          2.4,     0.6422207,          2.8,      0.700716,          3.6,     0.7897705,          2.8,     0.7046319,          2.8,      0.705401,            3,     0.7285185,          2.2,     0.6408505,          2.6,     0.6855876,          2.4,     0.6638227,
          2.6,     0.6603255,            3,     0.7218773,          3.8,      0.811223,            3,     0.7264801,            3,      0.727502,          3.2,     0.7502301,          2.4,     0.6631541,          2.8,     0.7074214,          2.6,     0.6857885,
          2.8,     0.6822145,          3.2,     0.7433267,            4,     0.8327175,          3.2,     0.7482049,          3.2,     0.7494819,          3.4,     0.7720681,          2.6,     0.6853018,            3,     0.7295743,          2.8,     0.7077942,
            3,     0.7012091,          3.4,     0.7650704,          4.2,     0.8538837,          3.4,     0.7698954,          3.4,     0.7712357,          3.6,      0.794102,          2.8,     0.7072434,          3.2,     0.7517459,            3,     0.7300927,
          3.2,     0.7206356,          3.6,     0.7859733,          4.4,     0.8750454,          3.6,     0.7916724,          3.6,     0.7927616,          3.8,     0.8158721,            3,     0.7289567,          3.4,     0.7736599,          3.2,     0.7521567,
          3.4,     0.7431069,          3.8,     0.8068161,          4.6,     0.8962095,          3.8,     0.8132544,          3.8,     0.8145428,            4,     0.8373342,          3.2,      0.751224,          3.6,      0.795284,          3.4,     0.7739461,
          3.6,     0.7600295,            4,      0.828122,          4.8,     0.9172764,            4,     0.8346473,            4,     0.8363324,          4.2,     0.8589728,          3.4,     0.7732647,          3.8,     0.8171445,          3.6,     0.7955678,
          3.8,      0.780143,          4.2,      0.849758,            5,     0.9381955,          4.2,     0.8561048,          4.2,     0.8578347,          4.4,     0.8807997,          3.6,     0.7950242,            4,     0.8392001,          3.8,     0.8177831,
            4,     0.8032387,          4.4,     0.8697322,          5.2,     0.9589359,          4.4,     0.8776512,          4.4,     0.8790135,          4.6,     0.9021673,          3.8,      0.816498,          4.2,     0.8608789,            4,     0.8397049,
          4.2,     0.8181565,          4.6,     0.8905169,          5.4,      0.979664,          4.6,     0.8989013,          4.6,     0.9006991,          4.8,     0.9230757,            4,     0.8385603,          4.4,     0.8820687,          4.2,     0.8611946,
          4.4,     0.8390788,          4.8,     0.9119387,          5.6,      1.000163,          4.8,     0.9198257,          4.8,     0.9220907,            5,     0.9446992,          4.2,     0.8604182,          4.6,     0.9038478,          4.4,     0.8826542,
          4.6,     0.8609235,            5,     0.9317605,          5.8,      1.020185,            5,     0.9412135,            5,     0.9429257,          5.2,     0.9654072,          4.4,     0.8818125,          4.8,     0.9252322,          4.6,     0.9044336,
          4.8,     0.8757187,          5.2,     0.9521183,            6,      1.040372,          5.2,     0.9621711,          5.2,     0.9640965,          5.4,      0.986257,          4.6,     0.9030815,            5,     0.9461089,          4.8,     0.9255005,
            5,     0.8981833,          5.4,     0.9732985,          6.2,      1.059752,          5.4,     0.9825457,          5.4,     0.9848406,          5.6,      1.006284,          4.8,     0.9247551,          5.2,     0.9671289,            5,     0.9467797,
          5.2,     0.9152322,          5.6,     0.9925899,          6.4,      1.078511,          5.6,      1.003486,          5.6,      1.005267,          5.8,      1.025984,            5,      0.945601,          5.4,     0.9875895,          5.2,     0.9672195,
